Hall,Category,Time,Dish,Calories,Serving Size,AutoCategory,FinalCategory
Huffman,Lunch,(11:30am-2pm),Roasted Mushrooms,130,0.5 cup,other,side
Huffman,Lunch,(11:30am-2pm),Grilled Red Onions,25,0.25 cup,other,other
Huffman,Lunch,(11:30am-2pm),Fire Roasted Jalapenos,25,1 oz,other,side
Huffman,Lunch,(11:30am-2pm),Cheddar Cheese,60,1 slice,other,side
Huffman,Lunch,(11:30am-2pm),American Cheese,50,1 slice,other,side
Huffman,Lunch,(11:30am-2pm),Sliced Swiss Cheese,30,1 slice,other,side
Huffman,Lunch,(11:30am-2pm),Leaf Lettuce,0,1 leaf,other,side
Huffman,Lunch,(11:30am-2pm),Sliced Yellow Onion,15,1 oz,other,side
Huffman,Lunch,(11:30am-2pm),Sliced Tomatoes,10,2 slice,other,side
Huffman,Lunch,(11:30am-2pm),Dill Pickle Slices,30,1 oz,other,side
Huffman,Lunch,(11:30am-2pm),Philly Cheesesteak,500,1 sandwich,beverage,beverage
Huffman,Lunch,(11:30am-2pm),Italian Beef Sandwich,590,,main,main
Huffman,Lunch,(11:30am-2pm),Hot Honey,45,1 serving,other,other
Huffman,Lunch,(11:30am-2pm),BBQ Sauce,50,2 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Sauteed Red & Green Peppers,50,0.5 cup,other,other
Huffman,Lunch,(11:30am-2pm),Sauteed Onions,60,0.5 cup,other,other
Huffman,Lunch,(11:30am-2pm),Sauteed Mushrooms,120,0.5 cup,other,other
Huffman,Lunch,(11:30am-2pm),Crispy French Fries,250,4.5 oz,side,side
Huffman,Lunch,(11:30am-2pm),Roasted Garlic Red Potatoes,90,0.5 cup,side,side
Huffman,Lunch,(11:30am-2pm),Roasted Sweet Potatoes,120,0.5 cup,side,side
Huffman,Lunch,(11:30am-2pm),Grilled Buffalo Chicken,140,3 oz,main,main
Huffman,Lunch,(11:30am-2pm),BBQ Sauce,70,2 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Three Bean Chili,110,6 floz,other,other
Huffman,Lunch,(11:30am-2pm),Sauteed Peppers and Onions,30,0.25 cup,other,other
Huffman,Lunch,(11:30am-2pm),Cheddar Cheese Sauce,60,1 floz,other,other
Huffman,Lunch,(11:30am-2pm),Blanched Broccoli,20,0.5 cup,other,other
Huffman,Lunch,(11:30am-2pm),Crispy Bacon Bits,35,2 slice,main,main
Huffman,Lunch,(11:30am-2pm),Fresh Scallions,0,1 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Cinnamon-Sugar Butter,90,1 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Mini Marshmallow,20,2 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Maple Syrup,40,1 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),White Rice,120,0.5 cup,side,side
