Hall,Category,Time,Dish,Calories,Serving Size,Station,FinalStation,Role
Huffman,Lunch,(11:30am-2pm),Grape Tomatoes,15,0.5 cup,fueld,byo_bowl,veg
Huffman,Lunch,(11:30am-2pm),Sliced Cucumbers,10,0.5 cup,fueld,byo_bowl,veg
Huffman,Lunch,(11:30am-2pm),Shredded Carrots,15,0.25 cup,fueld,byo_bowl,veg
Huffman,Lunch,(11:30am-2pm),Raspberry Vinaigrette,30,2 tbsp,fueld,byo_bowl,sauce
Huffman,Lunch,(11:30am-2pm),Pepperoni Pizza,270,1 slice,pizza,pizza,entree
Huffman,Lunch,(11:30am-2pm),Cheese Pizza,240,1 slice,pizza,pizza,entree
Huffman,Lunch,(11:30am-2pm),Spinach & Ricotta Pizza,240,1 slice,pizza,pizza,entree
Huffman,Lunch,(11:30am-2pm),Scratchmade Ranch Dressing,150,28 g,pizza,pizza,addon
Huffman,Lunch,(11:30am-2pm),Grated Parmesan Cheese,60,2 tbsp,pizza,pizza,addon
Huffman,Lunch,(11:30am-2pm),Italian Seasoning,0,1 tsp,pizza,pizza,entree
Huffman,Lunch,(11:30am-2pm),Crushed Red Pepper Flakes,0,1 serving,pizza,pizza,addon
Huffman,Lunch,(11:30am-2pm),Hot Honey,45,1 serving,pizza,pizza,entree
Huffman,Lunch,(11:30am-2pm),Vegetable Soup with Brown Rice,60,0.75 cup,soup du jour,soup,entree
Huffman,Lunch,(11:30am-2pm),Matzo Ball Soup,170,1 serving,soup du jour,soup,entree
Huffman,Lunch,(11:30am-2pm),All American Burger,560,,grill,grill,entree
Huffman,Lunch,(11:30am-2pm),Beyond Burger Patty,240,1 patty,grill,grill,entree
Huffman,Lunch,(11:30am-2pm),Potato Roll,160,1 each,grill,grill,entree
Huffman,Lunch,(11:30am-2pm),Crispy French Fries,250,4.5 oz,grill,grill,entree
Huffman,Lunch,(11:30am-2pm),Sliced Cheddar Cheese,60,1 slice,grill additions,grill,addon
Huffman,Lunch,(11:30am-2pm),Sliced Swiss Cheese,60,1 serving,grill additions,grill,addon
Huffman,Lunch,(11:30am-2pm),Leaf Lettuce,0,1 leaf,grill additions,grill,addon
Huffman,Lunch,(11:30am-2pm),Sliced Yellow Onion,15,1 oz,grill additions,grill,entree
Huffman,Lunch,(11:30am-2pm),Sliced Tomatoes,10,2 slice,grill additions,grill,addon
