Hall,Category,Time,Dish,Calories,Serving Size,Station,AutoCategory
Huffman,Lunch,(11:30am-2pm),Sliced Bell Peppers,10,1 oz,Produce Market,produce 0.71
Huffman,Lunch,(11:30am-2pm),Sliced Black Olives,0,2 tbsp,Produce Market,other 0.59
Huffman,Lunch,(11:30am-2pm),Roasted Edamame,170,0.5 cup,Produce Market,main-plant 0.63
Huffman,Lunch,(11:30am-2pm),Pickled Beets,15,1 oz,Produce Market,produce 0.68
Huffman,Lunch,(11:30am-2pm),Crispy Chickpeas,60,0.5 oz,Produce Market,main-plant 0.59
Huffman,Lunch,(11:30am-2pm),Diced Chicken,160,3.75 oz,Produce Market,main-combo 0.64
Huffman,Lunch,(11:30am-2pm),Roasted Tofu,120,3 oz,Produce Market,main-plant 0.69
Huffman,Lunch,(11:30am-2pm),Hard-Boiled Eggs,60,1 egg,Produce Market,other 0.50
Huffman,Lunch,(11:30am-2pm),Shredded Cheddar Cheese,120,0.25 cup,Produce Market,topping 0.69
Huffman,Lunch,(11:30am-2pm),House Made Honey Mustard,120,1 tbsp,Produce Market,topping 0.60
Huffman,Lunch,(11:30am-2pm),Herb Ranch Dressing,80,1 floz,Produce Market,topping 0.63
Huffman,Lunch,(11:30am-2pm),Raspberry Vinaigrette,0,2 tbsp,Produce Market,produce 0.59
Huffman,Lunch,(11:30am-2pm),Italian Dressing,280,1 serving,Produce Market,topping 0.67
Huffman,Lunch,(11:30am-2pm),Herbed Balsamic Vinaigrette,25,1 floz,Produce Market,other 0.55
Huffman,Lunch,(11:30am-2pm),Carrot Ginger Dressing,80,1 floz,Produce Market,produce 0.53
Huffman,Lunch,(11:30am-2pm),Nonfat Vanilla Greek Yogurt,170,1 cup,Fruit & Yogurt Bar,side 0.51
Huffman,Lunch,(11:30am-2pm),Nonfat Plain Greek Yogurt,100,0.75 cup,Fruit & Yogurt Bar,side 0.48
Huffman,Lunch,(11:30am-2pm),Nonfat Strawberry Greek Yogurt,180,1 cup,Fruit & Yogurt Bar,side 0.50
Huffman,Lunch,(11:30am-2pm),Cottage Cheese,90,0.5 cup,Fruit & Yogurt Bar,topping 0.76
Huffman,Lunch,(11:30am-2pm),Cinnamon Brown Sugar Granola,350,0.5 cup,Fruit & Yogurt Bar,other 0.51
Huffman,Lunch,(11:30am-2pm),Pumpkin Seeds,0,2 tbsp,Fruit & Yogurt Bar,produce 0.60
Huffman,Lunch,(11:30am-2pm),Chia Seeds,70,1.5 tbsp,Fruit & Yogurt Bar,produce 0.61
Huffman,Lunch,(11:30am-2pm),Red & Green Grapes,60,0.5 cup,Fruit & Yogurt Bar,produce 0.50
Huffman,Lunch,(11:30am-2pm),Cantaloupe,30,0.5 cup,Fruit & Yogurt Bar,produce 0.70
Huffman,Lunch,(11:30am-2pm),Pineapple Chunks,60,4 oz,Fruit & Yogurt Bar,produce 0.57
Huffman,Lunch,(11:30am-2pm),Honeydew Melon,35,0.5 cup,Fruit & Yogurt Bar,other 0.58
Huffman,Lunch,(11:30am-2pm),Indian Spiced Chicken,190,4 oz,FuelD,main-protein 0.53
Huffman,Lunch,(11:30am-2pm),Coconut Basmati Rice,180,0.5 cup,FuelD,main-carb 0.48
Huffman,Lunch,(11:30am-2pm),Moroccan Roasted Vegetables,70,0.5 cup,FuelD,side 0.70
Huffman,Lunch,(11:30am-2pm),Ginger Green Beans,70,3 oz,FuelD,side 0.70
Huffman,Lunch,(11:30am-2pm),Dinner Rolls,90,1 each,FuelD,main-carb 0.62
Huffman,Lunch,(11:30am-2pm),Whipped Butter,80,1 tbsp,FuelD,topping 0.60
Huffman,Lunch,(11:30am-2pm),Pepperoni Pizza,260,1 slice,Pizza,main-combo 0.63
Huffman,Lunch,(11:30am-2pm),Cheese Pizza,240,1 slice,Pizza,main-combo 0.67
Huffman,Lunch,(11:30am-2pm),Autumn Harvest Pizza,510,1 slice,Pizza,other 0.56
Huffman,Lunch,(11:30am-2pm),Butternut Squash Bisque,80,8 floz,soup du jour,soup 0.58
Huffman,Lunch,(11:30am-2pm),Ancho Beef Chili,260,8 floz,soup du jour,main-protein 0.55
Huffman,Lunch,(11:30am-2pm),Smash Burger,520,6 oz,Grill,main-combo 0.60
Huffman,Lunch,(11:30am-2pm),Seasoned Turkey Burger,260,1 each,Grill,main-combo 0.61
Huffman,Lunch,(11:30am-2pm),Grilled Seasoned Chicken Breast,240,1 each,Grill,main-protein 0.57
Huffman,Lunch,(11:30am-2pm),Beyond Burger Patty,240,1 patty,Grill,main-combo 0.65
Huffman,Lunch,(11:30am-2pm),Black Bean Burger,180,,Grill,main-plant 0.75
Huffman,Lunch,(11:30am-2pm),Potato Roll,230,1 each,Grill,main-carb 0.65
Huffman,Lunch,(11:30am-2pm),Bacon Onion Jam,110,2 tbsp,Grill,topping 0.63
Huffman,Lunch,(11:30am-2pm),Roasted Mushrooms,130,0.5 cup,Grill,side 0.73
Huffman,Lunch,(11:30am-2pm),Grilled Red Onions,25,0.25 cup,Grill,produce 0.66
